E6PW, 02, 7, 0, Moore, Poetry Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253665
E8PW, 01, 6, 0, Moore, Poetry Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253665
E8PW, 02, 7, 0, Moore, Poetry Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253665
E6SW, 01, 2, 0, Fletcher, Science Writing, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=259714
E8SW, 01, 2, 0, Fletcher, Science Writing, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=259714
E6WW, 01, 3, 0, Fletcher, Writers Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253669
E6WW, 02, 4, 0, Fletcher, Writers Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253669
E8WW, 01, 3, 0, Fletcher, Writers Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253669
E8WW, 02, 4, 0, Fletcher, Writers Workshop, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253669
E81X, 01, 4, 0, Gern, AP English Literature - Ancients & Moderns, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253679
E81X, 02, 5, 0, Gern, AP English Literature - Ancients & Moderns, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253679
E83X, 01, 5, 0, Schechter, AP English Literature - Great Books, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253688
E83X, 02, 6, 0, Schechter, AP English Literature - Great Books, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253688
E85X, 01, 5, 0, Henderson, AP English Literature - Society & Self, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253694
E85X, 02, 9, 0, Henderson, AP English Literature - Society & Self, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253694
E8EE, 01, 9, 0, Mazzurco, Existentialism, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253702
E8LB, 01, 1, 0, Halperin, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 02, 2, 0, Mandler, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 03, 3, 0, Mandler, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 04, 3, 0, Brown, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 05, 4, 0, Brown, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 06, 6, 0, Brown, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 07, 7, 0, Halperin, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 08, 8, 0, Manning, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 09, 9, 0, Mandler, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 10, 9, 0, Swartz, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8LB, 11, 10, 0, Swartz, Later British and World Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=344814
E8SF, 01, 1, 0, Bonsignore, Science Fiction & Fantasy, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=259714
E8SF, 02, 8, 0, Bonsignore, Science Fiction & Fantasy, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&termREC_ID=&pREC_ID=259714
E8SL, 01, 3, 0, Mott, Shakespearean Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253674
E8SL, 02, 7, 0, Mott, Shakespearean Literature, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128041&type=d&pREC_ID=253674
ECDT, 01, 10, 0, Scheinman, Debate Team, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126657&type=d&termREC_ID=&pREC_ID=253626
EJMS, 01, 10, 0, Garfinkel, Spectator, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126657&type=d&termREC_ID=&pREC_ID=253626
FFS64, 01, 3, 0, Augustave, French 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FFS66, 01, 2, 0, Augustave, French 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FFS66, 02, 8, 0, Augustave, French 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FFS66, 03, 9, 0, Augustave, French 3, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
FFS88X, 01, 6, 0, Augustave, AP French Language, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=128051&type=d&termREC_ID=&pREC_ID=253730
FGS64, 01, 2, 0, Dehn-Knight, German 2, http://stuy.enschool.org/apps/pages/index.jsp?uREC_ID=126658&type=d&termREC_ID=&pREC_ID=253719
